2025-09-22 13:32:31,752 - INFO - 开始轴承故障诊断CNN模型训练 - 12分类
2025-09-22 13:32:31,753 - INFO - 配置参数:
2025-09-22 13:32:31,753 - INFO -   数据路径: 数据集\数据集\源域数据集
2025-09-22 13:32:31,753 - INFO -   窗口大小: 4096
2025-09-22 13:32:31,754 - INFO -   重叠比例: 0.5
2025-09-22 13:32:31,754 - INFO -   批次大小: 32
2025-09-22 13:32:31,754 - INFO -   训练轮数: 50
2025-09-22 13:32:31,754 - INFO -   学习率: 0.0005
2025-09-22 13:32:31,755 - INFO -   类别数量: 12
2025-09-22 13:32:31,755 - INFO -   类别名称: ['正常', '内圈故障_0007', '内圈故障_0014', '内圈故障_0021', '内圈故障_0028', '滚动体故障_0007', '滚动体故障_0014', '滚动体故障_0021', '滚动体故障_0028', '外圈故障_0007', '外圈故障_0014', '外圈故障_0021']
2025-09-22 13:32:31,778 - INFO - 使用设备: cuda
2025-09-22 13:32:31,778 - INFO - 创建轴承故障诊断CNN模型...
2025-09-22 13:32:31,842 - INFO - 加载轴承振动信号数据...
2025-09-22 13:32:32,255 - INFO - 训练批次数: 57
2025-09-22 13:32:32,256 - INFO - 验证批次数: 0
2025-09-22 13:32:32,256 - INFO - 类别名称: ['正常', '内圈故障_0007', '内圈故障_0014', '内圈故障_0021', '内圈故障_0028', '滚动体故障_0007', '滚动体故障_0014', '滚动体故障_0021', '滚动体故障_0028', '外圈故障_0007', '外圈故障_0021', '外圈故障_0028']
2025-09-22 13:32:32,256 - INFO - 开始训练轴承故障诊断模型...
2025-09-22 13:32:35,037 - INFO - 开始训练，共 50 个epoch
2025-09-22 13:32:35,038 - INFO - 训练批次数: 57
2025-09-22 13:32:35,756 - INFO - Epoch 1/50 - 训练损失: 2.1091, 训练准确率: 23.83%
2025-09-22 13:32:36,138 - INFO - Epoch 2/50 - 训练损失: 1.2792, 训练准确率: 46.89%
2025-09-22 13:32:36,522 - INFO - Epoch 3/50 - 训练损失: 0.9547, 训练准确率: 60.83%
2025-09-22 13:32:36,895 - INFO - Epoch 4/50 - 训练损失: 0.7096, 训练准确率: 71.67%
2025-09-22 13:32:37,278 - INFO - Epoch 5/50 - 训练损失: 0.5252, 训练准确率: 81.06%
2025-09-22 13:32:37,664 - INFO - Epoch 6/50 - 训练损失: 0.3982, 训练准确率: 85.56%
2025-09-22 13:32:38,041 - INFO - Epoch 7/50 - 训练损失: 0.3624, 训练准确率: 85.06%
2025-09-22 13:32:38,418 - INFO - Epoch 8/50 - 训练损失: 0.3050, 训练准确率: 87.72%
2025-09-22 13:32:38,812 - INFO - Epoch 9/50 - 训练损失: 0.2403, 训练准确率: 91.06%
2025-09-22 13:32:39,227 - INFO - Epoch 10/50 - 训练损失: 0.2030, 训练准确率: 92.22%
2025-09-22 13:32:39,603 - INFO - Epoch 11/50 - 训练损失: 0.2136, 训练准确率: 91.56%
2025-09-22 13:32:39,987 - INFO - Epoch 12/50 - 训练损失: 0.1588, 训练准确率: 94.39%
2025-09-22 13:32:40,362 - INFO - Epoch 13/50 - 训练损失: 0.1521, 训练准确率: 95.67%
2025-09-22 13:32:40,730 - INFO - Epoch 14/50 - 训练损失: 0.1867, 训练准确率: 93.39%
2025-09-22 13:32:41,148 - INFO - Epoch 15/50 - 训练损失: 0.1499, 训练准确率: 94.78%
2025-09-22 13:32:41,609 - INFO - Epoch 16/50 - 训练损失: 0.0968, 训练准确率: 97.11%
2025-09-22 13:32:42,058 - INFO - Epoch 17/50 - 训练损失: 0.1344, 训练准确率: 95.44%
2025-09-22 13:32:42,512 - INFO - Epoch 18/50 - 训练损失: 0.1097, 训练准确率: 96.28%
2025-09-22 13:32:42,937 - INFO - Epoch 19/50 - 训练损失: 0.1306, 训练准确率: 96.50%
2025-09-22 13:32:43,399 - INFO - Epoch 20/50 - 训练损失: 0.1156, 训练准确率: 96.67%
2025-09-22 13:32:43,802 - INFO - Epoch 21/50 - 训练损失: 0.0965, 训练准确率: 96.94%
2025-09-22 13:32:44,195 - INFO - Epoch 22/50 - 训练损失: 0.0768, 训练准确率: 97.00%
2025-09-22 13:32:44,593 - INFO - Epoch 23/50 - 训练损失: 0.0826, 训练准确率: 97.11%
2025-09-22 13:32:44,972 - INFO - Epoch 24/50 - 训练损失: 0.0963, 训练准确率: 96.89%
2025-09-22 13:32:45,359 - INFO - Epoch 25/50 - 训练损失: 0.0591, 训练准确率: 97.39%
2025-09-22 13:32:45,746 - INFO - Epoch 26/50 - 训练损失: 0.0421, 训练准确率: 98.78%
2025-09-22 13:32:46,145 - INFO - Epoch 27/50 - 训练损失: 0.1779, 训练准确率: 94.78%
2025-09-22 13:32:46,532 - INFO - Epoch 28/50 - 训练损失: 0.0598, 训练准确率: 98.00%
2025-09-22 13:32:46,904 - INFO - Epoch 29/50 - 训练损失: 0.0588, 训练准确率: 98.06%
2025-09-22 13:32:47,284 - INFO - Epoch 30/50 - 训练损失: 0.0396, 训练准确率: 98.67%
2025-09-22 13:32:47,796 - INFO - Epoch 31/50 - 训练损失: 0.0708, 训练准确率: 97.67%
2025-09-22 13:32:48,343 - INFO - Epoch 32/50 - 训练损失: 0.0640, 训练准确率: 97.94%
2025-09-22 13:32:48,751 - INFO - Epoch 33/50 - 训练损失: 0.0950, 训练准确率: 96.94%
2025-09-22 13:32:49,129 - INFO - Epoch 34/50 - 训练损失: 0.0566, 训练准确率: 98.22%
2025-09-22 13:32:49,510 - INFO - Epoch 35/50 - 训练损失: 0.0826, 训练准确率: 97.56%
2025-09-22 13:32:49,885 - INFO - Epoch 36/50 - 训练损失: 0.0825, 训练准确率: 97.67%
2025-09-22 13:32:50,287 - INFO - Epoch 37/50 - 训练损失: 0.0758, 训练准确率: 97.56%
2025-09-22 13:32:50,667 - INFO - Epoch 38/50 - 训练损失: 0.0511, 训练准确率: 98.50%
2025-09-22 13:32:51,067 - INFO - Epoch 39/50 - 训练损失: 0.0473, 训练准确率: 98.33%
2025-09-22 13:32:51,469 - INFO - Epoch 40/50 - 训练损失: 0.0295, 训练准确率: 99.56%
2025-09-22 13:32:51,933 - INFO - Epoch 41/50 - 训练损失: 0.1363, 训练准确率: 96.56%
2025-09-22 13:32:52,409 - INFO - Epoch 42/50 - 训练损失: 0.0615, 训练准确率: 98.44%
2025-09-22 13:32:52,852 - INFO - Epoch 43/50 - 训练损失: 0.0542, 训练准确率: 98.28%
2025-09-22 13:32:53,237 - INFO - Epoch 44/50 - 训练损失: 0.0806, 训练准确率: 98.50%
2025-09-22 13:32:53,608 - INFO - Epoch 45/50 - 训练损失: 0.0605, 训练准确率: 98.44%
2025-09-22 13:32:53,972 - INFO - Epoch 46/50 - 训练损失: 0.1812, 训练准确率: 99.00%
2025-09-22 13:32:54,360 - INFO - Epoch 47/50 - 训练损失: 0.0855, 训练准确率: 97.39%
2025-09-22 13:32:54,739 - INFO - Epoch 48/50 - 训练损失: 0.1163, 训练准确率: 98.22%
2025-09-22 13:32:55,109 - INFO - Epoch 49/50 - 训练损失: 0.0958, 训练准确率: 96.67%
2025-09-22 13:32:55,489 - INFO - Epoch 50/50 - 训练损失: 0.0341, 训练准确率: 98.78%
2025-09-22 13:32:55,490 - INFO - 训练完成！
2025-09-22 13:32:56,488 - INFO - 训练历史图表已保存到: imgs/bearing_cnn_training_history_12class.png
